business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level
OPERATIONAL,"{'location': {'lat': -6.331395999999999, 'lng': 107.1382858}, 'viewport': {'northeast': {'lat': -6.330337369708499, 'lng': 107.1402578802915}, 'southwest': {'lat': -6.333035330291503, 'lng': 107.1375599197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WaterBoom Lippo Cikarang,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113227136233323937808"">Lissa Helisnawati</a>'], 'photo_reference': 'AUGGfZkovqwBnWRs2veb19VjX79AGfuV-aDwMJOlxxyFgFxFv7RqYjhAaH5LFeSJEtuN8JBbhJdZ-gQoQTmxJuxpvE8DsD881anJgNcy5JF-qkJNyuEGEmhrEnUubshdvo6_0YUUQWZyREAuR3_mI4BrCQHtxUDjc5aTfXxGwfCAPm0kTXwa', 'width': 4000}]",ChIJRbQNsleaaS4RnvA2Axsak_k,"{'compound_code': 'M49Q+C8 Cibatu, Bekasi Regency, West Java, Indonesia', 'global_code': '6P59M49Q+C8'}",4.3,ChIJRbQNsleaaS4RnvA2Axsak_k,GOOGLE,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",10668.0,"Lippo Cikarang, Jalan Madiun No.Kav. 115, Cibatu",,
OPERATIONAL,"{'location': {'lat': -6.2441019, 'lng': 107.0032347}, 'viewport': {'northeast': {'lat': -6.242713669708498, 'lng': 107.0045521802915}, 'southwest': {'lat': -6.245411630291502, 'lng': 107.0018542197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_dharma-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hok Lay Kiong Temple,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107466652620650287012"">Bong Benny Gunawan</a>'], 'photo_reference': 'AUGGfZnoecHFWTimh8lhtoMHDkoCmCAAzMTu6KPNvRFC20wHhEzcuY5hpLOJf4ao6c76Y16YkwgxHRcmahrzKdHuQQBR8fiNvlGKG3aD80N-MT8-8SHGFvLu4UKsjs6kkz1JVGiT6mbIJAU-wZBfaGgFjNCkoAahBR7e9OjspQRRfrxtSogb', 'width': 4000}]",ChIJ_37uhyiMaS4RcDXJFPGT_Cg,"{'compound_code': 'Q243+97 Margahayu, Bekasi, West Java, Indonesia', 'global_code': '6P59Q243+97'}",4.7,ChIJ_37uhyiMaS4RcDXJFPGT_Cg,GOOGLE,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",844.0,"Jalan Kenari I No.1, RT.006/RW.001, Margahayu",,
OPERATIONAL,"{'location': {'lat': -6.414655700000001, 'lng': 106.9865573}, 'viewport': {'northeast': {'lat': -6.413339919708498, 'lng': 106.9878696802915}, 'southwest': {'lat': -6.416037880291502, 'lng': 106.9851717197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Buah Mekarsari,{'open_now': False},"[{'height': 1094, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102988016911981091789"">Taman Buah Mekarsari</a>'], 'photo_reference': 'AUGGfZkhQlzrIX0kwvYf_Ih0iGmqIThhiZUb8-yhFuV9tE2YUEX3ZvXFkEDaI5yEK9tbfbup3fLhSf8U1leVgmpa0zcmC8p1RZp_aJTbU-mG7Gl-fWRHdopLiZYp-CPzh28kNiuInKijLNMCx6Fay9dwV1Up4J_dCeJ1_Xof0x9uio8l2JTo', 'width': 2048}]",ChIJU_NyYDaUaS4RI9uZZuByNZ4,"{'compound_code': 'HXPP+4J Mekarsari, Bogor Regency, West Java, Indonesia', 'global_code': '6P58HXPP+4J'}",4.3,ChIJU_NyYDaUaS4RI9uZZuByNZ4,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",27368.0,"Jalan Raya Cileungsi -Jonggol KM.3, Mekarsari, Cileungsi",,
OPERATIONAL,"{'location': {'lat': -6.17017, 'lng': 106.83139}, 'viewport': {'northeast': {'lat': -6.168397569708498, 'lng': 106.8333417802915}, 'southwest': {'lat': -6.171095530291502, 'lng': 106.8306438197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_islam-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_islam_pinlet,Istiqlal Mosque,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103958643191241465811"">Faiq Rifqi</a>'], 'photo_reference': 'AUGGfZle2eVykdNR9yYXmrQwLQzMoo0nYWCPo0c1EWA_r1a3RMFwuLpq71xmfcgdR_fmLTEwYabYrrkvd9U3MaQtrcOlKD0byxqNnQkHO1ELeo6y2OHkP3a0zUp9mb0mpNsVCrN7E81rKNKPqKQ9l0i8FpLCVt4PtcMNSEwW_wrjQMmDCP4k', 'width': 6240}]",ChIJHeC1aM71aS4RbAyE1ULw-so,"{'compound_code': 'RRHJ+WH Pasar Baru, Central Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RRHJ+WH'}",4.8,ChIJHeC1aM71aS4RbAyE1ULw-so,GOOGLE,"['mosque', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",12754.0,"Jl. Taman Wijaya Kusuma, Pasar Baru",,
OPERATIONAL,"{'location': {'lat': -6.1753924, 'lng': 106.8271528}, 'viewport': {'northeast': {'lat': -6.16723655, 'lng': 106.83420325}, 'southwest': {'lat': -6.18458515, 'lng': 106.81957385}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,National Monument,{'open_now': True},"[{'height': 4335, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101396687169029112025"">Moh Leonard BP</a>'], 'photo_reference': 'AUGGfZk5A5NvJOcCCwnMpCc-RLKE3NSBpqDS6CpQ5irR42E-nbi8nLJ5S5mIa_W_EPpoa3k8l5L23V_eEd3AlXBFESKKEr-60SVPsBwTXzqCJQabCZh4W-cGnyC7QE-LEVmJhEQie504w-4ytDl2XcOdfFrixQkD_H4UCOaL5p2ayxfdsuPs', 'width': 3690}]",ChIJLbFk59L1aS4RyLzp4OHWKj0,"{'compound_code': 'RRFG+RV Gambir, Central Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RRFG+RV'}",4.6,ChIJLbFk59L1aS4RyLzp4OHWKj0,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",114249.0,"RT.5/RW.2, Gambir",,
OPERATIONAL,"{'location': {'lat': -6.5976289, 'lng': 106.7995698}, 'viewport': {'northeast': {'lat': -6.5948987, 'lng': 106.8005635802915}, 'southwest': {'lat': -6.605819499999999, 'lng': 106.7978656197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bogor Botanical Gardens,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111560832400686454615"">Mast Moey</a>'], 'photo_reference': 'AUGGfZmKryITaCE4IQnvol0DmgHh-Z3gD08y5B8BbJBTAvnm0-NbUafZV2ZXIh1xZ0ezcce7MfPbG1jVuDV2IUgbjAjUHF0Ruvy4VDlFFSB1LHOJV_FbMZWyYi-rG3xIzBN4oJmTWIyffwl6UbeX389rjPo6pZmEZD1dqJIoF9qii4SxAKwd', 'width': 3264}]",ChIJu3qmEsTFaS4R5X6jRWs88nU,"{'compound_code': 'CQ2X+WR Paledang, Bogor City, West Java, Indonesia', 'global_code': '6P58CQ2X+WR'}",4.7,ChIJu3qmEsTFaS4R5X6jRWs88nU,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",96889.0,"Jalan Ir. Haji Juanda No.13, Paledang",,
OPERATIONAL,"{'location': {'lat': -6.302038599999999, 'lng': 106.8898924}, 'viewport': {'northeast': {'lat': -6.300679569708498, 'lng': 106.8914751302915}, 'southwest': {'lat': -6.303377530291502, 'lng': 106.8887771697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Mini Indonesia Indah,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101824048842787993434"">Vénon</a>'], 'photo_reference': 'AUGGfZnT0mZKtbRlsJbArVhVovDiumV6zCITOBnoRO_kbXMECGabWX4of-2LbmMfFqibXvfs7TkCNHGHejEVXJjzSV06rn64BYHUVA9Putdig6aqxS-v1hTaMmPq-HSOWFmBNDccA8gboqknEYs_RkJnhpwghGsZ-XVx-VYC_AqZpdB-V7Yf', 'width': 4000}]",ChIJYaJ20FDtaS4RDNry7LknMQc,"{'compound_code': 'MVXQ+5X Ceger, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58MVXQ+5X'}",4.6,ChIJYaJ20FDtaS4RDNry7LknMQc,GOOGLE,"['amusement_park', 'park', 'museum', 'tourist_attraction', 'point_of_interest', 'establishment']",161233.0,"Jalan Taman Mini Indonesia Indah, Ceger",,
CLOSED_TEMPORARILY,"{'location': {'lat': -6.299722800000001, 'lng': 106.891314}, 'viewport': {'northeast': {'lat': -6.298735419708499, 'lng': 106.8923964802915}, 'southwest': {'lat': -6.301433380291503, 'lng': 106.8896985197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SnowBay Waterpark TMII,,"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104058797855390362790"">SnowBay Waterpark TMII</a>'], 'photo_reference': 'AUGGfZkx1zidJS3o2IcJiCruZFcb1DkwLL3odO5YvTBoSPgyhT_XBYJJU_A8R8Te7QwyXAPA71ZlYIFy7tu_5aYecDsR4ZrAy2twgdcFvdTF_kINfqY34HK7VTGkHEjutmCWbHW6Wo3CiJxcLm4ETq-SpolV9G4uhPEumbH5IE0qIck6SHBc', 'width': 1200}]",ChIJa7SjVV7taS4R9KFB_0KU300,"{'compound_code': 'PV2R+4G Pinang Ranti, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58PV2R+4G'}",4.3,ChIJa7SjVV7taS4R9KFB_0KU300,GOOGLE,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",6614.0,"Komplek Taman Mini Indonesia Indah kel : Ceger kec : Cipayung, Jalan Taman Mini Indonesia Indah, Pinang Ranti",True,
OPERATIONAL,"{'location': {'lat': -6.135199999999999, 'lng': 106.8133}, 'viewport': {'northeast': {'lat': -6.133851019708498, 'lng': 106.8146489802915}, 'southwest': {'lat': -6.136548980291502, 'lng': 106.8119510197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Jakarta History Museum,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117415140203434679765"">Noveti</a>'], 'photo_reference': 'AUGGfZlKG89cH791htb8_7tDymopIxCk4iTPke5YvCmS2Q7_3ryJsTaHlPpEJ8-hJhJKACdV0q-Zif4LN3vh1k_l_Lt4dL7p05K6S_EKlBOjI2GCveoXUvyRLGv5F7pXGjj-Vsu4BwzfJRYDDqoU6hkb_cRXBZAK9SPdfdeUVw4jlJioiJ7E', 'width': 4000}]",ChIJfaWSQv8dai4RRQeMZy0D8BI,"{'compound_code': 'VR77+W8 Pinangsia, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VR77+W8'}",4.6,ChIJfaWSQv8dai4RRQeMZy0D8BI,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22031.0,"Taman Fatahillah No.1, Pinangsia",,
CLOSED_TEMPORARILY,"{'location': {'lat': -6.180783199999999, 'lng': 106.7517998}, 'viewport': {'northeast': {'lat': -6.179430619708497, 'lng': 106.7530301302915}, 'southwest': {'lat': -6.182128580291502, 'lng': 106.7503321697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Akili Museum of Art,,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109402786776389929055"">Mardea Mumpuni</a>'], 'photo_reference': 'AUGGfZkLaU9getkyhzzq3sPjPuzlF16y17f0l26f6FvuPU7ZKgfLjV_AZZaSsk68Aptrk3mE1mk6T8a95gJPzWbMOkykpjhavMqSTBp-60AcrQ-VHDzRdF1HySdReu9MZPLYiWWOVdSsAC_oJP7FK8X6E_gc8vRND496w02bEuIaQqdwCt8', 'width': 2592}]",ChIJG_NSCar3aS4RzK31tCcX4WM,"{'compound_code': 'RQ92+MP South Kembangan, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RQ92+MP'}",4.3,ChIJG_NSCar3aS4RzK31tCcX4WM,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",67.0,"Mutiara Kedoya, Block A1-1 JKLM, RT.11/RW.5, Kembangan Selatan",True,
